,name,reference product,location,unit
325,"treatment of residues, MSWI[F]-WWT[R], WW from anaerobic digestion of whey, residual material landfill","residues, MSWI[F]-WWT[R], WW from anaerobic digestion of whey",CH,kilogram
326,"heat production, natural gas, at industrial furnace low-NOx >100kW","heat, district or industrial, natural gas",CA-QC,megajoule
327,nutrient supply from NPK (26-15-15) fertiliser,"inorganic phosphorus fertiliser, as P2O5",RoW,kilogram
328,"electricity production, natural gas, combined cycle power plant","electricity, high voltage",CN-JX,kilowatt hour
329,market for adiponitrile,adiponitrile,RoW,kilogram
330,"market for laser machining, metal, with CO2-laser, 2000W power","laser machining, metal, with CO2-laser, 2000W power",GLO,hour
331,"electricity production, hard coal","electricity, high voltage",IN-DL,kilowatt hour
332,laterite quarry operation,"laterite, mineral",IN,kilogram
333,market for waste packaging paper,waste packaging paper,GB,kilogram
334,"market for used flexible duct aluminium/PET, DN of 125","used flexible duct aluminium/PET, DN of 125",CH,meter
335,"land already in use, annual cropland to forest, intensive","land tenure, arable land, measured as carbon net primary productivity, forest, intensive",BR-ES,kilogram
336,"market for cement, unspecified","cement, unspecified",BR,kilogram
337,"magnesium-alloy production, AZ91, diecasting","magnesium-alloy, AZ91, diecast",RoW,kilogram
338,"market for mercerizing, textile","mercerizing, textile",GLO,kilogram
339,"ammonia production, steam reforming, liquid","ammonia, anhydrous, liquid",RNA,kilogram
340,"market for steel removed by milling, small parts","steel removed by milling, small parts",GLO,kilogram
341,weaned calves production on pasture,"weaned heifers, live weight",BR,kilogram
342,"heat and power co-generation, oil","electricity, high voltage",FI,kilowatt hour
343,market for tetraethyl orthosilicate,tetraethyl orthosilicate,GLO,kilogram
344,"electricity production, natural gas, combined cycle power plant","electricity, high voltage",IN-AP,kilowatt hour
345,anhydrite production,anhydrite,CH,kilogram
346,"heat and power co-generation, natural gas, combined cycle power plant, 400MW electrical","heat, district or industrial, natural gas",NO,megajoule
347,"intensive beef cattle production, fat steers only, on pasture","cattle for slaughtering, live weight",BR,kilogram
348,"market for magnesium-alloy, AZ91, diecast","magnesium-alloy, AZ91, diecast",GLO,kilogram
349,drying of lentils,drying of lentils,CA-SK,litre
350,"treatment of residue from mechanical treatment, laptop computer, municipal incineration with fly ash extraction","heat, for reuse in municipal waste incineration only",CH,megajoule
351,"market for sulfidic tailings, from zinc-lead mine operation","sulfidic tailings, from zinc-lead mine operation",AU,kilogram
352,"trawler construction, steel","trawler, steel",PE,kilogram
353,"paper mill construction, non-integrated","paper mill, non-integrated",RER,unit
354,"uranium production, diffusion, enriched 4.0%","uranium, enriched 4.0%, per separative work unit",FR,unit
355,"treatment of garden biowaste, home composting in heaps",compost,RoW,kilogram
356,"sugarcane processing, modern autonomous plant","ethanol, without water, in 95% solution state, from fermentation",BR,kilogram
357,"market for inorganic nitrogen fertiliser, as N","inorganic nitrogen fertiliser, as N",TR,kilogram
358,"market for ventilation duct, connection piece, steel, 100x50 mm","ventilation duct, connection piece, steel, 100x50 mm",GLO,unit
359,"electricity production, wind, >3MW turbine, onshore","electricity, high voltage",CN-JX,kilowatt hour
360,"heat production, natural gas, at boiler fan burner non-modulating <100kW","heat, central or small-scale, natural gas",RoW,megajoule
361,"market for waste wood, untreated","waste wood, untreated",GB,kilogram
362,"market for inorganic phosphorus fertiliser, as P2O5","inorganic phosphorus fertiliser, as P2O5",ID,kilogram
363,biogas purification to biomethane by membrane technique,"biomethane, high pressure",CH,cubic meter
364,ammonium carbonate production,ammonium carbonate,RoW,kilogram
365,"electricity production, hard coal","electricity, high voltage",CN-HU,kilowatt hour
366,"tap water production, underground water with disinfection",tap water,Europe without Switzerland,kilogram
367,"market for funnel glass, for cathode ray tube display","funnel glass, for cathode ray tube display",GLO,kilogram
368,"treatment of used double glazing, U<1.1W/m2K, collection for final disposal","used double glazing, U<1.1W/m2K",CH,square meter
369,"electricity voltage transformation, residual mix, from high to medium voltage","electricity, medium voltage",IE,kilowatt hour
370,"beam, hardwood, raw, air drying to u=20%","sawnwood, beam, hardwood, raw, dried (u=20%)",RoW,cubic meter
371,"electricity voltage transformation, residual mix, from medium to low voltage","electricity, low voltage",LT,kilowatt hour
372,"heat and power co-generation, oil","heat, district or industrial, other than natural gas",BE,megajoule
373,market for photovoltaic panel factory,photovoltaic panel factory,GLO,unit
374,ammonium sulfate production,ammonium sulfate,RoW,kilogram
375,"electricity production, wind, >3MW turbine, onshore","electricity, high voltage",LU,kilowatt hour
376,"land already in use, perennial cropland to pasture, man made","land tenure, arable land, measured as carbon net primary productivity, pasture, man made",BR-AC,kilogram
377,sodium arsenide production from Imperial smelting furnace,sodium arsenide,GLO,kilogram
378,market for solvent for paint,solvent for paint,GLO,kilogram
379,market for waste packaging paper,waste packaging paper,BE,kilogram
380,"powertrain production, for electric passenger car","powertrain, for electric passenger car",GLO,kilogram
381,"market for inorganic phosphorus fertiliser, as P2O5","inorganic phosphorus fertiliser, as P2O5",RS,kilogram
382,"cement production, CEM V/B","cement, CEM V/B",CH,kilogram
383,electricity voltage transformation from medium to low voltage,"electricity, low voltage",NZ,kilowatt hour
384,market for sugarcane,sugarcane,RoW,kilogram
385,market for waste reinforced concrete,waste reinforced concrete,CH,kilogram
386,"zirconium and hafnium tetrachloride production, from zircon","hydrochloric acid, without water, in 30% solution state",US,kilogram
387,market for whey,whey,GLO,kilogram
388,market for waste polyvinylfluoride,waste polyvinylfluoride,CH,kilogram
389,inert material landfill construction,inert material landfill,RoW,unit
390,"market for waste plastic, mixture","waste plastic, mixture",BR,kilogram
391,"market for electricity, medium voltage","electricity, medium voltage",KE,kilowatt hour
392,maize grain production,maize grain,AR,kilogram
393,"offset printing, per kg printed paper","printed paper, offset",RoW,kilogram
394,"market for solid manure loading and spreading, by hydraulic loader and spreader","solid manure loading and spreading, by hydraulic loader and spreader",GLO,kilogram
395,alfalfa/grass silage production,alfalfa-grass silage,RoW,kilogram
396,market for sodium perchlorate,sodium perchlorate,GLO,kilogram
397,"mine construction, gold-silver-zinc-lead-copper","mine infrastructure, gold-silver-zinc-lead-copper",RoW,unit
398,"anchovy, capture by steel purse seiner and landing whole, fresh","landed anchovy by-catch, fresh",RoW,kilogram
399,"market for electricity, medium voltage","electricity, medium voltage",US-WECC,kilowatt hour
400,"treatment of coal gas, in power plant","electricity, high voltage",FR,kilowatt hour
401,"market for land tenure, arable land, measured as carbon net primary productivity, perennial crop","land tenure, arable land, measured as carbon net primary productivity, perennial crop",IT,kilogram
402,"softwood forestry, spruce, sustainable forest management","pulpwood, softwood, measured as solid wood under bark",RoW,cubic meter
403,milking parlour construction,milking parlour,CH,unit
404,"electricity production, natural gas, conventional power plant","electricity, high voltage",CN-HA,kilowatt hour
405,"electricity production, nuclear, aluminium industry","electricity, high voltage, aluminium industry",RoW,kilowatt hour
406,electricity voltage transformation from medium to low voltage,"electricity, low voltage",BJ,kilowatt hour
407,wheat bran to generic market for energy feed,"protein feed, 100% crude",ZA,kilogram
408,market for used electric bicycle,used electric bicycle,GLO,unit
409,"treatment of coal gas, in power plant","electricity, high voltage",JP,kilowatt hour
410,"treatment of sewage sludge, 75% water, WWT, WW, average, sanitary landfill","heat, district or industrial, other than natural gas",Europe without Switzerland,megajoule
411,"market for blower and heat exchange unit, GE 250 RH","blower and heat exchange unit, GE 250 RH",GLO,unit
412,"market for compressed air, 600 kPa gauge","compressed air, 600 kPa gauge",RoW,cubic meter
413,hot water tank factory construction,hot water tank factory,RoW,unit
414,"natural gas, high pressure, import from LY","natural gas, high pressure",RoE,cubic meter
415,keyboard production,keyboard,GLO,unit
416,"electricity, medium voltage, residual mix","electricity, medium voltage",LT,kilowatt hour
417,"C3 hydrocarbon production, mixture, petroleum refinery operation",C3 hydrocarbon mixture,Europe without Switzerland,kilogram
418,"heat and power co-generation, natural gas, conventional power plant, 100MW electrical","heat, district or industrial, natural gas",LT,megajoule
419,"market for titania slag, 94% titanium dioxide","titania slag, 94% titanium dioxide",GLO,kilogram
420,"market for used refrigeration machine, carbon dioxide, liquid as refrigerant","used refrigeration machine, carbon dioxide, liquid as refrigerant",GLO,unit
421,"electricity, high voltage, import from ZW","electricity, high voltage",ZM,kilowatt hour
422,market for wastewater from wafer fabrication,wastewater from wafer fabrication,RoW,cubic meter
423,"sulfate pulp production, from softwood, unbleached","electricity, high voltage",RLA,kilowatt hour
424,"treatment of nickel smelter slag, residual material landfill",nickel smelter slag,CH,kilogram
425,"heat and power co-generation, natural gas, conventional power plant, 100MW electrical","electricity, high voltage",SA,kilowatt hour
426,ethylene glycol production,ethylene glycol,RER,kilogram
427,"electricity production, hard coal","electricity, high voltage",TW,kilowatt hour
428,"market for heat pump, diffusion absorption, 4kW, future","heat pump, diffusion absorption, 4kW, future",RoW,unit
429,"heat and power co-generation, hard coal","heat, district or industrial, other than natural gas",PL,megajoule
430,"mine construction, open cast, steatite","mine infrastructure, steatite",CA-QC,unit
431,"wood preservation, pressure vessel, creosote, outdoor use, ground contact","wood preservation, pressure vessel, creosote, outdoor use, ground contact",RoW,kilogram
432,"fertilising, by rig fertiliser, sugarcane","fertilising, by rig fertiliser, sugarcane",RoW,hectare
433,ethylene glycol dimethyl ether production,ethylene glycol dimethyl ether,RoW,kilogram
