,name,reference product,location,unit
194,dimethylamine borane production,dimethylamine borane,GLO,kilogram
195,"treatment of waste plastic, consumer electronics, municipal incineration with fly ash extraction","waste plastic, consumer electronics",CH,kilogram
196,"petroleum and gas production, onshore","natural gas, high pressure",KZ,cubic meter
197,market for chlorothalonil,chlorothalonil,GLO,kilogram
198,"heat and power co-generation, wood chips, 6667 kW","heat, district or industrial, other than natural gas",IN-OR,megajoule
199,"market for bottom ash, MSWI-WWT, WW from ceramic production","bottom ash, MSWI-WWT, WW from ceramic production",GLO,kilogram
200,"excavation, skid-steer loader","excavation, skid-steer loader",RER,cubic meter
201,"electricity, high voltage, production mix","electricity, high voltage",MM,kilowatt hour
202,"grass production, Swiss integrated production, intensive","grass, Swiss integrated production",CH,kilogram
203,"electricity, high voltage, import from BE","electricity, high voltage",GB,kilowatt hour
204,potato production,potato,CN,kilogram
205,"treatment of aluminium scrap, post-consumer, prepared for recycling, at remelter","aluminium, wrought alloy",RoW,kilogram
206,cobalt production,zinc sulfide,GLO,kilogram
207,market for 2-nitroaniline,2-nitroaniline,GLO,kilogram
208,"natural gas, burned in gas turbine","natural gas, burned in gas turbine",IT,megajoule
209,"electricity, high voltage, import from CA-PE","electricity, high voltage",CA-NB,kilowatt hour
210,"treatment of blast furnace gas, in power plant","electricity, high voltage",CN-GX,kilowatt hour
211,"stirling heat and power co-generation unit construction, 3kW electrical, wood pellet, future","stirling heat and power co-generation unit, 3kW electrical, wood pellet, future",CH,unit
212,electricity voltage transformation from medium to low voltage,"electricity, low voltage",FI,kilowatt hour
213,"sugarcane processing, traditional annexed plant","ethanol, without water, in 95% solution state, from fermentation",CO,kilogram
214,"transport, freight, lorry 3.5-7.5 metric ton, EURO3","transport, freight, lorry 3.5-7.5 metric ton, EURO3",RoW,ton kilometer
215,"market for natural gas, high pressure","natural gas, high pressure",GR,cubic meter
216,"water works construction, capacity 1.1E10l/year, ultrafiltration treatment","water works, capacity 1.1E10l/year",RoW,unit
217,n-olefins production,n-olefins,RoW,kilogram
218,"alkylbenzene production, linear","alkylbenzene, linear",CA-QC,kilogram
219,"electricity production, hard coal","electricity, high voltage",AU,kilowatt hour
220,barite production,barite,RER,kilogram
221,"ventilation system production, decentralized, 6 x 120 m3/h, polyethylene ducts","ventilation system, decentralized, 6 x 120 m3/h, polyethylene ducts",CH,unit
222,market for wastewater from maize starch production,wastewater from maize starch production,CH,cubic meter
223,electricity voltage transformation from medium to low voltage,"electricity, low voltage",KE,kilowatt hour
224,"concrete production, 25-30MPa, with cement, Portland","concrete, 25-30MPa",IN,cubic meter
225,"market for electricity, medium voltage, aluminium industry","electricity, medium voltage, aluminium industry","IAI Area, Asia, without China and GCC",kilowatt hour
226,market for acrolein,acrolein,GLO,kilogram
227,"heat and power co-generation, hard coal","heat, district or industrial, other than natural gas",FI,megajoule
228,"plastic flake, consumer electronics, for recycling, Recycled Content cut-off","plastic flake, consumer electronics, for recycling",GLO,kilogram
229,electricity voltage transformation from high to medium voltage,"electricity, medium voltage",BA,kilowatt hour
230,"milk production, from cow","cattle for slaughtering, live weight",CA-QC,kilogram
231,"market for residues, MSWI[F]-WWT, WW, average","residues, MSWI[F]-WWT, WW, average",CH,kilogram
232,"polyurethane production, flexible foam, TDI-based, low density","polyurethane, flexible foam",RoW,kilogram
233,"market for electricity, medium voltage","electricity, medium voltage",BR-North-eastern grid,kilowatt hour
234,"heat and power co-generation, wood chips, 6667 kW, state-of-the-art 2014","heat, district or industrial, other than natural gas",US-SERC,megajoule
235,"lightweight concrete block production, pumice","lightweight concrete block, pumice",DE,kilogram
236,"panel glass production, for cathode ray tube display","panel glass, for cathode ray tube display",GLO,kilogram
237,market for goods wagon,goods wagon,GLO,unit
238,"petroleum and gas production, onshore","natural gas, high pressure",CA,cubic meter
239,"market for insulation spiral-seam duct, rockwool, DN 400, 30 mm","insulation spiral-seam duct, rockwool, DN 400, 30 mm",GLO,meter
240,market for bell pepper,bell pepper,GLO,kilogram
241,"greenhouse construction, plastic walls and roof, plastic tubes","greenhouse, plastic walls and roof",RoW,square meter-year
242,molecular sieve separation of naphtha,fraction 7 from naphtha separation,RER,kilogram
243,"treatment of sewage sludge, 70% water, WWT, WW from vegetable oil refinery, municipal incineration","electricity, for reuse in municipal waste incineration only",GLO,kilowatt hour
244,"market for sodium silicate, without water, in 37% solution state","sodium silicate, without water, in 37% solution state",RoW,kilogram
245,"nitric acid production, product in 50% solution state","steam, in chemical industry",RAF,kilogram
246,"wastewater treatment facility construction, capacity 1.6E8l/year","wastewater treatment facility, capacity 1.6E8l/year",RoW,unit
247,"market for land use change, perennial crop","land use change, perennial crop",HN,hectare
